"_id","_labels","ChEMBL ID","Name","PubChem ID","SMILES","SPARK ID","Spark ID","definition","email","info","link","name","ncbi id","orcid","_start","_end","_type","ChEMBL Assay","DOI","Literature","MIC"
"1012",":Person","","","","","","","","Vincent.Kittleson@test.de","","","Vincent Kittleson","","https://orcid.org/0000-0002-7683-0452",,,,,,,
"1013",":Person","","","","","","","","Petr.Towers@test.de","","","Petr Towers","","https://orcid.org/0000-0002-7683-0452",,,,,,,
"1014",":Person","","","","","","","","Yi.Ryland@test.de","","","Yi Ryland","","https://orcid.org/0000-0001-7655-2459",,,,,,,
"1015",":Person","","","","","","","","Loraine.Bova@test.de","","","Loraine Bova","","https://orcid.org/0000-0001-7655-2459",,,,,,,
"1016",":Person","","","","","","","","Cedric.Arvizo@test.de","","","Cedric Arvizo","","https://orcid.org/0000-0001-7655-2459",,,,,,,
"1017",":Person","","","","","","","","Asis.Sturgis@test.de","","","Asis Sturgis","","https://orcid.org/0000-0002-7683-0452",,,,,,,
"1018",":Person","","","","","","","","Katrina.Picone@test.de","","","Katrina Picone","","https://orcid.org/0000-0001-7655-2459",,,,,,,
"1019",":Person","","","","","","","","Friederike.Ryckman@test.de","","","Friederike Ryckman","","https://orcid.org/0000-0002-7683-0452",,,,,,,
"1020",":Person","","","","","","","","Sven.Fielder@test.de","","","Sven Fielder","","https://orcid.org/0000-0001-7655-2459",,,,,,,
"1021",":Person","","","","","","","","Ammar.Gault@test.de","","","Ammar Gault","","https://orcid.org/0000-0001-7655-2459",,,,,,,
"1022",":Person","","","","","","","","Fran�ois.Doe@test.de","","","Fran�ois Doe","","https://orcid.org/0000-0002-7683-0452",,,,,,,
"1023",":Person","","","","","","","","Niklas.Bradley@test.de","","","Niklas Bradley","","https://orcid.org/0000-0001-7655-2459",,,,,,,
"1024",":Person","","","","","","","","Manoj.Bartee@test.de","","","Manoj Bartee","","https://orcid.org/0000-0002-7683-0452",,,,,,,
"1025",":Person","","","","","","","","Graziano.Overturf@test.de","","","Graziano Overturf","","https://orcid.org/0000-0001-7655-2459",,,,,,,
"1026",":Person","","","","","","","","Marco.Mullen@test.de","","","Marco Mullen","","https://orcid.org/0000-0002-7683-0452",,,,,,,
"1027",":Person","","","","","","","","Jordi.Buse@test.de","","","Jordi Buse","","https://orcid.org/0000-0001-7655-2459",,,,,,,
"1028",":Person","","","","","","","","Sergei.Munn@test.de","","","Sergei Munn","","https://orcid.org/0000-0002-7683-0452",,,,,,,
"1029",":Person","","","","","","","","Philipp.Vale@test.de","","","Philipp Vale","","https://orcid.org/0000-0001-7655-2459",,,,,,,
"1030",":Person","","","","","","","","Bj�rn.Debartolo@test.de","","","Bj�rn Debartolo","","https://orcid.org/0000-0002-7683-0452",,,,,,,
"1031",":Person","","","","","","","","Stuart.Squire@test.de","","","Stuart Squire","","https://orcid.org/0000-0001-7655-2459",,,,,,,
"1032",":Person","","","","","","","","Roland.Shock@test.de","","","Roland Shock","","https://orcid.org/0000-0002-7683-0452",,,,,,,
"1033",":Person","","","","","","","","Serena.Nilsen@test.de","","","Serena Nilsen","","https://orcid.org/0000-0002-7683-0452",,,,,,,
"1034",":Person","","","","","","","","Raphael.Gil@test.de","","","Raphael Gil","","https://orcid.org/0000-0002-7683-0452",,,,,,,
"1035",":Person","","","","","","","","Stian.Meiners@test.de","","","Stian Meiners","","https://orcid.org/0000-0001-7655-2459",,,,,,,
"1036",":Person","","","","","","","","Frederik.Neptune@test.de","","","Frederik Neptune","","https://orcid.org/0000-0002-7683-0452",,,,,,,
"1037",":Person","","","","","","","","Erwan.Albarado@test.de","","","Erwan Albarado","","https://orcid.org/0000-0002-7683-0452",,,,,,,
"1038",":Person","","","","","","","","Alex.Hemond@test.de","","","Alex Hemond","","https://orcid.org/0000-0002-7683-0452",,,,,,,
"1039",":Person","","","","","","","","Gildas.Cassady@test.de","","","Gildas Cassady","","https://orcid.org/0000-0001-7655-2459",,,,,,,
"1040",":Person","","","","","","","","Antonio.Halfacre@test.de","","","Antonio Halfacre","","https://orcid.org/0000-0002-7683-0452",,,,,,,
"1041",":Person","","","","","","","","Philip.Kissinger@test.de","","","Philip Kissinger","","https://orcid.org/0000-0002-7683-0452",,,,,,,
"1042",":Person","","","","","","","","Michael.Ambrosino@test.de","","","Michael Ambrosino","","https://orcid.org/0000-0001-7655-2459",,,,,,,
"1043",":Person","","","","","","","","Andrea.Espey@test.de","","","Andrea Espey","","https://orcid.org/0000-0002-7683-0452",,,,,,,
"1044",":Person","","","","","","","","Jean-Karim.Ehmann@test.de","","","Jean-Karim Ehmann","","https://orcid.org/0000-0002-7683-0452",,,,,,,
"1045",":Person","","","","","","","","Carole.Hodson@test.de","","","Carole Hodson","","https://orcid.org/0000-0001-7655-2459",,,,,,,
"1046",":Person","","","","","","","","Alexander.Messenger@test.de","","","Alexander Messenger","","https://orcid.org/0000-0001-7655-2459",,,,,,,
"1047",":Person","","","","","","","","John.Smith@test.de","","","John Smith","","https://orcid.org/0000-0001-7655-2459",,,,,,,
"1048",":Institute","","","","","","","","","","http://www.asclepia.com/","Asclepia Outsourcing Solutions Bvba","","",,,,,,,
"1049",":Institute","","","","","","","","","","https://beam-alliance.eu/","Beam Alliance","","",,,,,,,
"1050",":Institute","","","","","","","","","","https://biocom.de/","Biocom AG","","",,,,,,,
"1051",":Institute","","","","","","","","","","https://www.gatesfoundation.org/","Bill & Melinda Gates Foundation","","",,,,,,,
"1052",":Institute","","","","","","","","","","https://www.bioaster.org/","Bioaster Foundation de Coopération Scientifique","","",,,,,,,
"1053",":Institute","","","","","","","","","","https://bioversys.com/","BioVersys AG","","",,,,,,,
"1054",":Institute","","","","","","","","","","https://www.chu-tours.fr/","Centre Hospitalier Regional Universitaire De Tours","","",,,,,,,
"1055",":Institute","","","","","","","","","","http://www.chu-poitiers.fr/en/","Centre Hospitalier Universitaire De Poitiers","","",,,,,,,
"1056",":Institute","","","","","","","","","","https://www.cea.fr/","Commissariat A L Energie Atomique Et Aux Energies Alternatives","","",,,,,,,
"1057",":Institute","","","","","","","","","","https://www.cnr.it/en","Consiglio Nazionale delle Richerche","","",,,,,,,
"1058",":Institute","","","","","","","","","","https://c-path.org/","Critical Path Institute Limited","","",,,,,,,
"1059",":Institute","","","","","","","","","","https://www.dzif.de/de","Deutsches Zentrum Fur Infektionsforschung (Dzif)","","",,,,,,,
"1060",":Institute","","","","","","","","","","https://www.epfl.ch/en/","École polytechnique fédérale de Lausanne","","",,,,,,,
"1061",":Institute","","","","","","","","","","https://www.erasmusmc.nl/","Erasmus Medical Center","","",,,,,,,
"1062",":Institute","","","","","","","","","","https://europeanlung.org/en","European Lung Foundation","","",,,,,,,
"1063",":Institute","","","","","","","","","","https://www.ersnet.org/","European Respiratory Society","","",,,,,,,
"1064",":Institute","","","","","","","","","","https://www.evotec.com/en","Evotec International GmbH","","",,,,,,,
"1065",":Institute","","","","","","","","","","https://ffund.nl/","FFUND","","",,,,,,,
"1066",":Institute","","","","","","","","","","https://fz-borstel.de/index.php/de/","Forschungszentrum Borstel","","",,,,,,,
"1067",":Institute","","","","","","","","","","https://im4tb.org/","Foundation Innovative Medicines for Tuberculosis","","",,,,,,,
"1068",":Institute","","","","","","","","","","https://www.finddx.org/","Foundation For Innovative New Diagnostics","","",,,,,,,
"1069",":Institute","","","","","","","","","","https://www.itmp.fraunhofer.de/en.html","Fraunhofer Institute for Translational Medicine and Pharmacology","","",,,,,,,
"1070",":Institute","","","","","","","","","","https://www.gsk.com/en-gb/home/","Glaxosmithkline","","",,,,,,,
"1071",":Institute","","","","","","","","","","https://www.tballiance.org/","Global Alliance for TB Drug Development","","",,,,,,,
"1072",":Institute","","","","","","","","","","https://grit42.com/about/","Gritsystems As","","",,,,,,,
